Color,Count,Percentage,Year
#69d1ec,1,0.3676470588235294,1996
#fdeec3,1,0.3676470588235294,1996
#090b06,1,0.3676470588235294,1996
#293134,1,0.3676470588235294,1996
#d6d9d2,1,0.3676470588235294,1996
#ee6401,1,0.3676470588235294,1996
#281a19,1,0.3676470588235294,1996
#eeeeee,1,0.3676470588235294,1996
#101010,1,0.3676470588235294,1996
#300403,1,0.3676470588235294,1996
#eef2f5,1,0.3676470588235294,1996
#110c09,1,0.3676470588235294,1996
#0b090a,1,0.3676470588235294,1996
#e91f3b,1,0.3676470588235294,1996
#000105,1,0.3676470588235294,1996
#040404,1,0.3676470588235294,1996
#000000,90,35.15625,1997
#ffffff,49,19.140625,1997
#010101,9,3.515625,1997
#030303,3,1.171875,1997
#080808,3,1.171875,1997
#fcfcfc,3,1.171875,1997
#fefefe,2,0.78125,1997
#060606,2,0.78125,1997
#121212,2,0.78125,1997
#08080a,2,0.78125,1997
#040404,2,0.78125,1997
#010010,1,0.390625,1997
#07226f,1,0.390625,1997
#181319,1,0.390625,1997
#f8e2d5,1,0.390625,1997
#0b0100,1,0.390625,1997
#759dd8,1,0.390625,1997
#0b0b0b,1,0.390625,1997
#06050b,1,0.390625,1997
#060807,1,0.390625,1997
#19110e,1,0.390625,1997
#171918,1,0.390625,1997
#8cc2e6,1,0.390625,1997
#fcffea,1,0.390625,1997
#ff0090,1,0.390625,1997
#e0e7ef,1,0.390625,1997
#d2dee2,1,0.390625,1997
#facf21,1,0.390625,1997
#040001,1,0.390625,1997
#fef25e,1,0.390625,1997
#080705,1,0.390625,1997
#f7f4ef,1,0.390625,1997
#050102,1,0.390625,1997
#090a0c,1,0.390625,1997
#1c1a1b,1,0.390625,1997
#090c13,1,0.390625,1997
#020113,1,0.390625,1997
#1d1f1a,1,0.390625,1997
#7fbdf4,1,0.390625,1997
#19192b,1,0.390625,1997
#033faf,1,0.390625,1997
#a5d7b2,1,0.390625,1997
#0f110e,1,0.390625,1997
#121816,1,0.390625,1997
#000405,1,0.390625,1997
#0ec161,1,0.390625,1997
#1b1a20,1,0.390625,1997
#c21d2e,1,0.390625,1997
#0a0b0f,1,0.390625,1997
#0c0c0c,1,0.390625,1997
#02050a,1,0.390625,1997
#070506,1,0.390625,1997
#13120e,1,0.390625,1997
